|Email|FirstName|Id|LastName|OwnerId|type
0|jrogers@btca.com|Jack|00Q0o00001TMqRUEA1|Rogers|0050o00000XHBoPAAX|Lead
1|bill_dadio@zenith.com|Bill|00Q0o00001TMqRVEA1|Dadio Jr|0050o00000XHBoPAAX|Lead
2|eluce@pacificretail.com|Eugena|00Q0o00001TMqRWEA1|Luce|0050o00000XHBoPAAX|Lead
3|sandra_e@highland.net|Sandra|00Q0o00001TMqRXEA1|Eberhard|0050o00000XHBoPAAX|Lead
4|bblair@abankingco.com|Betty|00Q0o00001TMqRYEA1|Bair|0050o00000XHBoPAAX|Lead
5|bertha@fcof.net|Bertha|00Q0o00001TMqRDEA1|Boxer|0050o00000XHBoPAAX|Lead
6|pcotton@abbottins.net|Phyllis|00Q0o00001TMqREEA1|Cotton|0050o00000XHBoPAAX|Lead
7|jeffg@jackson.com|Jeff|00Q0o00001TMqRFEA1|Glimpse|0050o00000XHBoPAAX|Lead
8|likeb@metro.com|Mike|00Q0o00001TMqRGEA1|Braund|0050o00000XHBoPAAX|Lead
9|patricia_feager@is.com|Patricia|00Q0o00001TMqRHEA1|Feager|0050o00000XHBoPAAX|Lead
10|brenda@cardinal.net|Brenda|00Q0o00001TMqRIEA1|Mcclure|0050o00000XHBoPAAX|Lead
11|violetm@emersontransport.com|Violet|00Q0o00001TMqRJEA1|Maccleod|0050o00000XHBoPAAX|Lead
12|ksynder@tnr.net|Kathy|00Q0o00001TMqRKEA1|Snyder|0050o00000XHBoPAAX|Lead
13|tom.james@delphi.chemicals.com|Tom|00Q0o00001TMqRLEA1|James|0050o00000XHBoPAAX|Lead
14|shellyb@westerntelecom.com|Shelly|00Q0o00001TMqRMEA1|Brownell|0050o00000XHBoPAAX|Lead
15|pam_owenby@hendricksontrading.com|Pamela|00Q0o00001TMqRNEA1|Owenby|0050o00000XHBoPAAX|Lead
16|norm_may@greenwich.net|Norm|00Q0o00001TMqROEA1|May|0050o00000XHBoPAAX|Lead
17|pat@pyramid.net|Pat|00Q0o00001TMqRPEA1|Stumuller|0050o00000XHBoPAAX|Lead
18|a_young@dickenson.com|Andy|00Q0o00001TMqRQEA1|Young|0050o00000XHBoPAAX|Lead
19|kakin@athenahome.com|Kristen|00Q0o00001TMqRREA1|Akin|0050o00000XHBoPAAX|Lead
20|david@blues.com|David|00Q0o00001TMqRSEA1|Monaco|0050o00000XHBoPAAX|Lead
21|carolync@aceis.com|Carolyn|00Q0o00001TMqRTEA1|Crenshaw|0050o00000XHBoPAAX|Lead
22|crackjeeonline@gmail.com|AtulLead|00Q0o00001PG8k0EAD|Anand|0050o00000XHBoPAAX|Lead
23|atullead@gmail.com|atullead|00Q0o00001PG8muEAD|Anand2|0050o00000XHBoPAAX|Lead
